iter	Passed	Remaining
415	2685	3770
416	2688	3759
417	2692	3748
418	2695	3737
419	2697	3725
420	2700	3714
421	2703	3703
422	2707	3692
423	2710	3681
424	2712	3669
425	2715	3658
426	2717	3647
427	2720	3636
428	2724	3626
429	2726	3614
430	2729	3603
431	2732	3592
432	2741	3589
433	2746	3581
434	2749	3571
435	2752	3560
436	2755	3550
437	2759	3540
438	2761	3529
439	2765	3519
440	2768	3508
441	2771	3498
442	2775	3489
443	2778	3479
444	2781	3469
445	2784	3458
446	2787	3448
447	2789	3437
448	2792	3426
449	2795	3416
450	2797	3405
451	2800	3395
452	2803	3385
453	2806	3374
454	2808	3364
455	2813	3356
456	2816	3346
457	2818	3335
458	2821	3325
459	2824	3315
460	2827	3305
461	2830	3295
462	2833	3286
463	2836	3276
464	2839	3266
465	2842	3257
466	2845	3248
467	2848	3238
468	2851	3228
469	2854	3218
470	2857	3209
471	2859	3199
472	2862	3189
473	2865	3179
474	2868	3170
475	2871	3160
476	2873	3151
477	2876	3141
478	2879	3132
479	2882	3122
480	2886	3114
481	2889	3104
482	2892	3095
483	2894	3086
484	2897	3076
485	2900	3067
486	2903	3058
487	2905	3048
488	2908	3039
489	2911	3029
490	2913	3020
491	2916	3011
492	2919	3002
493	2922	2993
494	2924	2983
495	2927	2975
496	2930	2966
497	2933	2957
498	2937	2948
499	2939	2939
500	2942	2930
501	2944	2921
502	2947	2912
503	2950	2903
504	2953	2894
505	2955	2885
506	2957	2876
507	2961	2867
508	2965	2860
509	2967	2851
510	2971	2843
511	2973	2834
512	2977	2826
513	2979	2817
514	2982	2809
515	2985	2800
516	2988	2792
517	2991	2783
518	2994	2774
519	2997	2766
520	2999	2758
521	3002	2749
522	3006	2741
523	3009	2733
524	3011	2725
525	3014	2716
526	3019	2710
527	3022	2701
528	3025	2693
529	3028	2685
530	3031	2677
531	3034	2669
532	3038	2662
533	3041	2654
534	3044	2646
535	3047	2637
536	3049	2629
537	3052	2621
538	3055	2613
539	3058	2605
540	3061	2597
541	3064	2589
542	3071	2584
543	3074	2576
544	3077	2569
545	3080	2561
546	3083	2553
547	3086	2545
548	3089	2537
549	3092	2530
550	3095	2522
551	3098	2514
552	3101	2506
553	3104	2498
554	3106	2491
555	3109	2483
556	3112	2475
557	3115	2467
558	3117	2459
559	3120	2451
560	3122	2443
561	3125	2436
562	3129	2428
563	3131	2421
564	3134	2413
565	3137	2405
566	3140	2398
567	3143	2390
568	3145	2382
569	3148	2375
570	3151	2367
571	3154	2360
572	3165	2358
573	3173	2355
574	3181	2351
575	3189	2347
576	3196	2343
577	3205	2340
578	3214	2337
579	3222	2333
580	3227	2327
581	3237	2324
582	3248	2323
583	3260	2322
584	3270	2320
585	3275	2314
586	3287	2313
587	3295	2309
588	3303	2305
589	3313	2302
590	3328	2303
591	3339	2301
592	3349	2298
593	3355	2293
594	3365	2291
595	3373	2286
596	3383	2284
597	3393	2281
598	3402	2278
599	3413	2275
600	3421	2271
601	3428	2266
602	3436	2262
603	3443	2257
604	3447	2251
605	3460	2249
606	3465	2243
607	3469	2237
608	3473	2229
609	3477	2223
610	3480	2216
611	3484	2209
612	3489	2203
613	3492	2195
614	3501	2192
615	3507	2186
616	3515	2182
617	3527	2180
618	3536	2176
619	3544	2172
620	3551	2167
621	3560	2163
622	3566	2158
623	3576	2154
624	3585	2151
625	3593	2146
626	3601	2142
627	3609	2137
628	3616	2133
629	3623	2128
630	3633	2124
631	3642	2120
632	3650	2116
633	3657	2111
634	3666	2107
