iter	Logloss
0	0.633102403
1	0.5840453655
2	0.5355921985
3	0.4913802114
4	0.4531488093
5	0.4073639356
6	0.3663049717
7	0.335305545
8	0.3064698249
9	0.2771347264
10	0.2524621499
11	0.2339540629
12	0.2150069075
13	0.197424705
14	0.1771979869
15	0.1630761732
16	0.1492471949
17	0.1366742827
18	0.1250376272
19	0.1168455803
20	0.1076620268
21	0.09933733747
22	0.09177609785
23	0.08431693857
24	0.07734719229
25	0.07062871841
26	0.06546716573
27	0.05978759862
28	0.05549657712
29	0.0513723332
30	0.04761151837
31	0.04409772937
32	0.04119234599
33	0.03804378384
34	0.03520693737
35	0.03267282886
36	0.03039059756
37	0.02861195791
38	0.02664128508
39	0.02496659566
40	0.02316379904
41	0.02184348146
42	0.02043843786
43	0.01907386241
44	0.01794877588
45	0.01668093927
46	0.01579905556
47	0.01497858799
48	0.01400662381
49	0.01327066031
50	0.01255636983
51	0.01190919303
52	0.01138088863
53	0.01073877127
54	0.01014591573
55	0.009676004384
56	0.009187354322
57	0.008750730239
58	0.008361998392
59	0.007947292396
60	0.00758232726
61	0.007225466388
62	0.007029356801
63	0.006744896083
64	0.00641121654
65	0.006032315048
66	0.005753863054
67	0.005523374503
68	0.005316582844
69	0.005104863059
70	0.004904321027
71	0.004707860951
72	0.004530979281
73	0.00436186387
74	0.004217623051
75	0.004087638559
76	0.003958785992
77	0.003833694715
78	0.003718018107
79	0.003599236568
80	0.003487584118
81	0.003400343179
82	0.003293199699
83	0.003172929273
84	0.003075433737
85	0.00297177689
86	0.002908044649
87	0.002829088073
88	0.002744350499
89	0.002669938035
90	0.002589599383
91	0.002528578352
92	0.002466532669
93	0.002409285875
94	0.002350642439
95	0.002297988538
96	0.002243873031
97	0.002187687877
98	0.002127912748
99	0.002087407614
100	0.002045107953
101	0.002003658392
102	0.001955321109
103	0.001930744063
104	0.001885477726
105	0.001835674559
106	0.001798061426
107	0.001769989888
108	0.001729058779
109	0.001698565256
110	0.001659581375
111	0.001628165389
112	0.001595523383
113	0.00156339139
114	0.001523792188
115	0.001497717817
116	0.001472876055
117	0.001437358461
118	0.001411103065
119	0.00138484397
120	0.001366458523
121	0.001343442382
122	0.001318231519
123	0.001295439173
124	0.001275908971
125	0.001256335882
126	0.001235159233
127	0.001222464156
128	0.001207788096
129	0.001195012564
130	0.001171728469
131	0.001156013194
132	0.001142615751
133	0.001133672138
134	0.001121881491
135	0.001107642272
136	0.001093372072
137	0.001081840593
138	0.001069416013
139	0.001053533238
140	0.001040749383
141	0.001025165656
142	0.001014860544
143	0.001001197459
144	0.0009867198792
145	0.000974196695
146	0.0009628810353
147	0.0009517624683
148	0.0009372129869
149	0.000925436905
150	0.0009162504237
151	0.0009072403431
152	0.0008979679734
153	0.0008903832019
154	0.000878623766
155	0.0008684902575
156	0.0008603460551
157	0.0008495071747
158	0.0008391963984
159	0.0008304040445
160	0.0008303882078
161	0.000820177365
162	0.0008108733794
163	0.0008004571789
164	0.0007936021125
165	0.0007857652822
166	0.00077857984
167	0.0007681997635
168	0.0007556894104
169	0.000747407879
170	0.0007387004888
171	0.0007386832648
172	0.0007296915064
173	0.0007296879807
174	0.0007236084536
175	0.0007149859115
176	0.0007149859115
177	0.0007149715775
178	0.0007149542957
179	0.0007035932643
180	0.0007035782367
181	0.0007035666771
182	0.0006936268511
183	0.0006844467276
184	0.0006844463808
185	0.0006844475367
186	0.0006844447624
187	0.0006844447624
188	0.0006844364972
189	0.0006844364972
190	0.0006844464964
191	0.0006844468432
192	0.000684429966
193	0.0006769475556
194	0.0006697994512
195	0.0006624241413
196	0.0006553417537
197	0.0006553283445
198	0.0006553352803
199	0.0006553399042
200	0.0006553399042
201	0.0006553351647
202	0.0006553036068
203	0.0006552948214
204	0.0006482019724
205	0.0006481994292
206	0.0006482038797
207	0.0006481876383
208	0.0006481784484
209	0.000648194054
210	0.0006481775236
211	0.0006412032191
212	0.0006411922374
213	0.0006322304186
214	0.0006322304186
215	0.0006260619975
216	0.000620003798
217	0.0006199882502
218	0.0006199827594
